,FinalWorth,Person Name,Age,country,City,source,Industries,Country_Of_Citizenship,Self_Made,Status,Gender,State,Residence_State_Region,Birth Year,Birth Month,Birthday,CPI Country,CPI ChangeCountry,GDP_Country,Gross_Tertiarye_Education_Enrollment,Gross_Primary_Education_Enrollment_Country,Life_Expectancy_Country,Tax_Revenue_Country,Total_TaxRate_Country,Population_Country,Latitude Country,Longitude Country
0,211000,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,False,U,M,,,1949.0,3.0,5.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
1,180000,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,D,M,Texas,South,1971.0,6.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
2,114000,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,True,D,M,Washington,West,1964.0,1.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
3,107000,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,True,U,M,Hawaii,West,1944.0,8.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
4,106000,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,True,D,M,Nebraska,Midwest,1930.0,8.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
5,104000,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,True,D,M,Washington,West,1955.0,10.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
6,94500,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,U,M,New York,Northeast,1942.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
7,93000,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,True,U,M,,,1940.0,1.0,28.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
8,83400,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,False,D,M,,,1957.0,4.0,19.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
9,80700,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,True,D,M,Washington,West,1956.0,3.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
10,80500,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,False,U,F,,,1953.0,7.0,10.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
11,79200,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,True,D,M,California,West,1973.0,3.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
12,77300,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,True,U,M,,,1936.0,3.0,28.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
